Region,Medal_Females,Medal_Males,Medal_Total,Percent_Female,Percent_Male,GDP,GDPpC,WPS Index rank,WPS Index value
Fiji,0.0,13.0,13.0,0.0,100.0,4.257,4909.5,58.0,0.757
Gabon,0.0,1.0,1.0,0.0,100.0,15.762,8754.4,124.0,0.647
Georgia,0.0,14.0,14.0,0.0,100.0,15.325,3754.0,46.0,0.777
Guatemala,0.0,1.0,1.0,0.0,100.0,55.94,3542.6,106.0,0.68
Jordan,0.0,1.0,1.0,0.0,100.0,33.608,3880.7,129.0,0.629
Kuwait,0.0,1.0,1.0,0.0,100.0,153.455,40629.5,96.0,0.701
Morocco,0.0,2.0,2.0,0.0,100.0,102.444,3034.1,133.0,0.625
Niger,0.0,1.0,1.0,0.0,100.0,9.539,508.7,155.0,0.5539999999999999
Nigeria,0.0,18.0,18.0,0.0,100.0,422.0,2449.4,145.0,0.604
Qatar,0.0,3.0,3.0,0.0,100.0,165.123,72126.1,72.0,0.73
Saudi Arabia,0.0,4.0,4.0,0.0,100.0,651.364,21661.7,120.0,0.655
Trinidad,0.0,11.0,11.0,0.0,100.0,24.47,18091.7,41.0,0.7879999999999999
Uganda,0.0,1.0,1.0,0.0,100.0,24.022,663.5,109.0,0.6779999999999999
United Arab Emirates,0.0,1.0,1.0,0.0,100.0,355.455,39761.4,44.0,0.7809999999999999
Uzbekistan,0.0,16.0,16.0,0.0,100.0,60.184,1996.4,89.0,0.71
Vietnam,0.0,2.0,2.0,0.0,100.0,168.648,1824.3,92.0,0.7070000000000001
